Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R12        0603_-_MONTAGEM_MÁQUINA       5220mil    228.787mil       5220mil    228.787mil    5252.48mil    228.787mil  B        180.00 Res3           
R11        0603_-_MONTAGEM_MÁQUINA       5544mil    228.787mil       5544mil    228.787mil    5576.48mil    228.787mil  B        180.00 Res3           
R10        0603_-_MONTAGEM_MÁQUINA       5863mil    228.787mil       5863mil    228.787mil    5895.48mil    228.787mil  B        180.00 Res3           
R9         0603_-_MONTAGEM_MÁQUINA       6189mil    228.787mil       6189mil    228.787mil    6221.48mil    228.787mil  B        180.00 Res3           
R8         0603_-_MONTAGEM_MÁQUINA       4879mil    228.787mil       4879mil    228.787mil    4911.48mil    228.787mil  B        180.00 Res3           
R7         0603_-_MONTAGEM_MÁQUINA       5397mil    421.992mil       5397mil    421.992mil       5397mil    389.512mil  B         90.00 Res3           
R6         0603_-_MONTAGEM_MÁQUINA       5728mil    421.992mil       5728mil    421.992mil       5728mil    389.512mil  B         90.00 Res3           
R5         0603_-_MONTAGEM_MÁQUINA       6061mil    421.992mil       6061mil    421.992mil       6061mil    389.512mil  B         90.00 Res3           
R4         0603_-_MONTAGEM_MÁQUINA       6357mil    421.992mil       6357mil    421.992mil       6357mil    389.512mil  B         90.00 Res3           
R3         0603_-_MONTAGEM_MÁQUINA       5090mil    421.992mil       5090mil    421.992mil       5090mil    389.512mil  B         90.00 Res3           
R2         0603_-_MONTAGEM_MÁQUINA        436mil        418mil        436mil        418mil        436mil     450.48mil  B        270.00 Res3           
R1         0603_-_MONTAGEM_MÁQUINA        604mil        689mil        604mil        689mil        604mil     721.48mil  B        270.00 Res3           
Q21        SOT-23B               4562mil        804mil       4562mil        804mil   4599.402mil    754.787mil  B        180.00 QNPN           
Q20        SOT-23B               4556mil        539mil       4556mil        539mil   4593.402mil    489.787mil  B        180.00 QNPN           
Q19        SOT-23B               4562mil       1279mil       4562mil       1279mil   4599.402mil   1229.787mil  B        180.00 QNPN           
Q18        SOT-23B               4558mil       1010mil       4558mil       1010mil   4595.402mil    960.787mil  B        180.00 QNPN           
Q17        SOT-23B               3956mil        811mil       3956mil        811mil   3993.402mil    761.787mil  B        180.00 QNPN           
Q16        SOT-23B               3955mil        539mil       3955mil        539mil   3992.402mil    489.787mil  B        180.00 QNPN           
Q15        SOT-23B               3959mil       1288mil       3959mil       1288mil   3996.402mil   1238.787mil  B        180.00 QNPN           
Q14        SOT-23B               3957mil       1016mil       3957mil       1016mil   3994.402mil    966.787mil  B        180.00 QNPN           
Q13        SOT-23B               3352mil        807mil       3352mil        807mil   3389.402mil    757.787mil  B        180.00 QNPN           
Q12        SOT-23B               3356mil        542mil       3356mil        542mil   3393.402mil    492.787mil  B        180.00 QNPN           
Q11        SOT-23B               3354mil       1287mil       3354mil       1287mil   3391.402mil   1237.787mil  B        180.00 QNPN           
Q10        SOT-23B               3358mil       1025mil       3358mil       1025mil   3395.402mil    975.787mil  B        180.00 QNPN           
Q9         SOT-23B               2743mil        812mil       2743mil        812mil   2780.402mil    762.787mil  B        180.00 QNPN           
Q8         SOT-23B               2745mil        570mil       2745mil        570mil   2782.402mil    520.787mil  B        180.00 QNPN           
Q7         SOT-23B               2745mil       1273mil       2745mil       1273mil   2782.402mil   1223.787mil  B        180.00 QNPN           
Q6         SOT-23B               2739mil       1036mil       2739mil       1036mil   2776.402mil    986.787mil  B        180.00 QNPN           
Q5         SOT-23B               5392mil        278mil       5392mil        278mil   5342.787mil    240.598mil  B         90.00 QNPN           
Q4         SOT-23B               5697mil        278mil       5697mil        278mil   5647.787mil    240.598mil  B         90.00 QNPN           
Q3         SOT-23B               6021mil        278mil       6021mil        278mil   5971.787mil    240.598mil  B         90.00 QNPN           
Q2         SOT-23B               6342mil        278mil       6342mil        278mil   6292.787mil    240.598mil  B         90.00 QNPN           
Q1         SOT-23B               5045mil        278mil       5045mil        278mil   4995.787mil    240.598mil  B         90.00 QNPN           
D9         Led_3mm_bicolor       4787mil    667.559mil       4787mil    667.559mil       4787mil    567.559mil  T          0.00 SSL-LX3059IGW-CA
D8         Led_3mm_bicolor       4787mil       1140mil       4787mil       1140mil       4787mil       1040mil  T          0.00 SSL-LX3059IGW-CA
D7         Led_3mm_bicolor       4182mil    667.559mil       4182mil    667.559mil       4182mil    567.559mil  T          0.00 SSL-LX3059IGW-CA
